participant_id,session_id,repetition_id,label,ax_mean,ax_std,ax_min,ax_max,ax_range,ax_rms,ay_mean,ay_std,ay_min,ay_max,ay_range,ay_rms,az_mean,az_std,az_min,az_max,az_range,az_rms,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_rms,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_rms,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_rms
gilang,S1,gilang_seg4,idle,0.3476313333333333,0.02047860065748851,0.1819,0.3575,0.17559999999999998,0.3482339974787068,0.03520199999999999,0.001958382666045292,0.0187,0.0366,0.0179,0.03525643298274325,0.8436839999999998,0.04928047223799707,0.4393,0.8641,0.42479999999999996,0.8451220366313968,6.009399333333333,0.3768040603986227,2.9542,6.2881,3.3339,6.021201013701503,1.5747820000000001,0.18174841111455875,0.8282,1.6949,0.8667,1.5852352609208096,-0.6114273333333333,0.12806396469299586,-0.8774,-0.3321,0.5452999999999999,0.6246949359487397
gilang,S1,gilang_seg4,idle,0.35701199999999994,0.0014205595141821156,0.3535,0.3584,0.0049000000000000155,0.35701482620940733,0.036046,0.00030781596233247393,0.0353,0.0366,0.0013000000000000025,0.03604731427813543,0.8636340000000001,0.0019963576833824112,0.8585,0.8661,0.00759999999999994,0.8636363073655483,6.237703333333334,0.12411955602921275,6.0497,6.4153,0.3656000000000006,6.238938093847916,1.6788113333333332,0.01321984637664985,1.6457,1.7118,0.06610000000000005,1.678863382549833,-0.4331226666666667,0.2520171394030352,-0.7762,-0.1057,0.6705,0.5011066582408713
gilang,S1,gilang_seg4,idle,0.3583806666666666,0.0003299892254133329,0.3575,0.3589,0.0014000000000000123,0.3583808185901323,0.036630666666666666,0.0005445422134437534,0.0361,0.0379,0.001800000000000003,0.036634713956392055,0.8659619999999999,0.0008620649627493325,0.8642,0.8672,0.0030000000000000027,0.8659624290926253,6.310107333333334,0.06845896103668404,6.1885,6.4153,0.2267999999999999,6.310478681331023,1.7087140000000003,0.03177637493484744,1.6601,1.7556,0.09550000000000014,1.7090094416942232,-0.236072,0.09266761614861292,-0.4152,-0.1057,0.3095,0.2536085098467058
gilang,S1,gilang_seg4,idle,0.35891,0.0003395585369269892,0.3584,0.3597,0.0013000000000000234,0.3589101606251904,0.03747533333333333,0.0005455195281156807,0.0366,0.0382,0.0015999999999999973,0.03747930362213258,0.8670266666666668,0.0003967646937697784,0.8662,0.8676,0.0014000000000000679,0.8670267574494649,6.257752666666667,0.058214650729481794,6.1885,6.3584,0.16989999999999927,6.2580234405707795,1.7353073333333335,0.014543892631922475,1.6955,1.7556,0.06010000000000004,1.7353682796263545,-0.3676226666666667,0.11949002365423186,-0.4987,-0.1174,0.3813,0.38655438271994796
gilang,S1,gilang_seg4,idle,0.36356133333333324,0.010211097144229362,0.3589,0.403,0.04410000000000003,0.3637047010969201,0.03895733333333334,0.00226722581338712,0.0376,0.0449,0.007300000000000001,0.03902325118866102,0.8676166666666667,0.0005367080729368256,0.8671,0.8693,0.0021999999999999797,0.8676168326705823,7.302051333333332,3.1251150422074954,6.1379,18.4508,12.3129,7.942688317041446,-8.855746,33.40668957931955,-147.8655,1.7525,149.618,34.560543194017264,3.9896659999999997,13.33204114544021,-0.6036,65.322,65.9256,13.916204794959961
hikhmal,S1,hikhmal_seg5,idle,0.927962,0.007232718898634642,0.9146,0.9395,0.024900000000000033,0.9279901861909244,-0.11667799999999995,0.000533525382089111,-0.1177,-0.1159,0.001799999999999996,0.11667921980084256,-0.24076599999999998,0.013766518949974245,-0.2662,-0.2188,0.0474,0.24115924987443463,6.09316,0.12715666190438732,5.8762,6.3055,0.42930000000000046,6.094486656172664,-0.11931933333333336,0.5655325528734448,-1.4406,0.5083,1.9489,0.5779828472080003,-0.3311393333333333,0.16350089292178874,-0.8726,-0.0654,0.8072,0.36930448151446343
hikhmal,S1,hikhmal_seg5,idle,0.9391453333333332,0.0057035028613027705,0.9284,0.9481,0.01970000000000005,0.9391626520825168,-0.1175933333333333,0.0005241713036360876,-0.1185,-0.1167,0.001799999999999996,0.11759450157213985,-0.21949,0.010877945578095159,-0.2398,-0.2019,0.03790000000000002,0.21975939069809963,6.173467333333334,0.08878742590905288,6.0003,6.3055,0.30520000000000014,6.174105775149413,0.4827393333333333,0.2364207858590742,-0.0021,0.9999,1.002,0.5375240012625793,-0.4137206666666667,0.14541185568202095,-0.6301,-0.0654,0.5647,0.4385309542096202
hikhmal,S1,hikhmal_seg5,idle,0.9480233333333334,0.0045689009133002174,0.9396,0.9555,0.015900000000000025,0.9480343429433346,-0.11852066666666668,0.0005234878752708184,-0.1194,-0.1177,0.001700000000000007,0.11852182274444935,-0.2022206666666667,0.009146899632601688,-0.2186,-0.1872,0.031399999999999983,0.20242742847746695,6.159650666666667,0.05902501587933335,6.0778,6.3029,0.2251000000000003,6.1599334645649115,0.9610866666666668,0.3481173234541609,0.3138,1.4092,1.0954,1.0221904185294115,-0.46209000000000006,0.050094897611100746,-0.62,-0.3905,0.22949999999999998,0.4647974471387151
hikhmal,S1,hikhmal_seg5,idle,0.9552706666666667,0.0038112560775797923,0.9483,0.9614,0.0131,0.9552782695459301,-0.11943333333333335,0.0005111642484455359,-0.1203,-0.1185,0.00180000000000001,0.11943442719752122,-0.18755333333333335,0.0078053799110328745,-0.2017,-0.175,0.0267,0.1877156807515025,6.106737999999999,0.06296048990703082,6.0142,6.2591,0.24490000000000034,6.107062552809929,1.298978,0.09058013091180649,1.0109,1.4092,0.3983000000000001,1.3021323299112113,-0.4741326666666667,0.04799170413959294,-0.5375,-0.3905,0.14699999999999996,0.47655533704562225
irvan,S1,irvan_seg6,idle,0.5223713333333334,0.0279337653188554,0.4545,0.5637,0.10919999999999996,0.5231176780929252,-0.010037999999999998,0.035710214542434025,-0.0969,0.023,0.1199,0.03709421608103704,-0.4341986666666667,0.1925373567169643,-0.7619,-0.0884,0.6735,0.4749727527623734,-38.55631933333333,84.69532068436264,-242.174,86.6135,328.7875,93.05851442163151,29.836082666666666,122.98084207381069,-237.6635,244.744,482.4075,126.54832810462466,6.744665333333333,78.75386418258768,-144.4899,170.6412,315.1311,79.042150996466
